book_title,chapter,avg_anger_sentiment,avg_anticipation_sentiment,avg_disgust_sentiment,avg_fear_sentiment,avg_joy_sentiment,avg_sadness_sentiment,avg_surprise_sentiment,avg_trust_sentiment
Harry Potter and the Philosopher's Stone,1,5.447809980387885e-4,8.171714970581826e-4,3.1324907387230333e-4,4.766833732839399e-4,6.673567225975158e-4,7.218348224013946e-4,5.311614730878186e-4,0.0011031815210285464
Harry Potter and the Philosopher's Stone,2,0.0016896802325581395,7.994186046511628e-4,7.8125e-4,0.0010174418604651163,6.722383720930232e-4,0.0018531976744186047,6.177325581395349e-4,0.0012536337209302325
Harry Potter and the Philosopher's Stone,3,0.0013145936120488185,0.0010711503505582965,5.518047260451831e-4,5.518047260451831e-4,3.895092183848351e-4,0.0012983640612827837,1.7852505842638278e-4,9.250843936639834e-4
Harry Potter and the Philosopher's Stone,4,0.001510727865290603,7.808256382400868e-4,8.996469310157523e-4,0.001510727865290603,6.280554046713743e-4,0.001833242802824552,6.450298750678979e-4,0.0010014937533948942
Harry Potter and the Philosopher's Stone,5,0.0014930766889835667,9.890444309190506e-4,6.847230675593427e-4,7.322732805842971e-4,5.991326841144248e-4,0.0015120967741935483,4.564820450395618e-4,0.0011221850273889227
Harry Potter and the Philosopher's Stone,6,0.0013033269659344156,8.755173511620503e-4,8.158229863100923e-4,5.8699458771092e-4,5.770455269022604e-4,0.001591849729385546,4.079114931550462e-4,6.864851957975168e-4
Harry Potter and the Philosopher's Stone,7,0.0012435725463894477,7.684998882181982e-4,7.265817124972055e-4,8.80281690140845e-4,8.94254415381176e-4,0.0015369997764363963,7.265817124972055e-4,0.0013134361725911023
Harry Potter and the Philosopher's Stone,8,0.0012451012410189418,8.572828216851731e-4,6.93990855649902e-4,0.001040986283474853,6.735793598954931e-4,0.001040986283474853,7.960483344219465e-4,0.001040986283474853
Harry Potter and the Philosopher's Stone,9,0.0013900224443991022,8.289124668435013e-4,4.590899816364008e-4,8.926749642930013e-4,6.37624974495001e-4,0.0014537849418486022,7.013874719445012e-4,0.001224239951030402
Harry Potter and the Philosopher's Stone,10,0.0016048085901027077,8.46171802054155e-4,5.397992530345472e-4,7.440476190476191e-4,4.960317460317461e-4,0.0014005602240896359,4.668534080298786e-4,9.191176470588236e-4
Harry Potter and the Philosopher's Stone,11,0.0020070528211284513,4.68937575030012e-4,4.8769507803121247e-4,9.941476590636254e-4,4.3142256902761105e-4,0.0015756302521008404,5.06452581032413e-4,8.628451380552221e-4
Harry Potter and the Philosopher's Stone,12,0.0015163261583363737,8.550711419190077e-4,5.47245530828165e-4,5.244436337103246e-4,7.068588106530464e-4,0.0015049252097774535,4.7883983947464426e-4,8.892739875957681e-4
